Agent,Income,Distance,Price_iterative,Prices_recursive,Prices_memo
1,12453.390836743733,0.0049204630807458,503.50844826537934,503.50844826537934,503.50844826537934
2,4080.820896774244,0.007392057062968463,494.6558488359218,494.6558488359218,494.6558488359218
3,3534.0695500564343,0.01327971980095144,476.70802251391285,476.70802251391285,476.70802251391285
4,2828.5089882923667,0.01784779407131605,465.94024575567397,465.94024575567397,465.94024575567397
5,1865.6346460974978,0.025886497262108052,454.6431718368161,454.6431718368161,454.6431718368161
6,1736.6114327934083,0.02678546095192845,453.49021076128844,453.49021076128844,453.49021076128844
7,1616.5850545959177,0.03245768848553436,446.8741259335399,446.8741259335399,446.8741259335399
8,1540.7254777845615,0.03773311541168413,441.08834524541,441.08834524541,441.08834524541
9,1447.1655022981968,0.04380032035322768,434.96571409925,434.96571409925,434.96571409925
10,1424.5049923699855,0.045153326915362724,433.62595481509095,433.62595481509095,433.62595481509095
11,1406.6120755059528,0.04658183779792543,432.23504032138607,432.23504032138607,432.23504032138607
12,1381.5833558081486,0.049206428514959516,429.74011690108824,429.74011690108824,429.74011690108824
13,1273.7068977694464,0.06291184877220983,418.0935693772558,418.0935693772558,418.0935693772558
14,1259.3584607308965,0.06413466303399211,417.06422945266405,417.06422945266405,417.06422945266405
15,1254.8551216194742,0.06839886772105706,413.48408980430827,413.48408980430827,413.48408980430827
16,1147.4432510747863,0.07320270782402358,409.9497850306782,409.9497850306782,409.9497850306782
17,1114.1481305669495,0.07928690355682505,405.65224417885213,405.65224417885213,405.65224417885213
18,1078.245865127346,0.0901248816747412,398.3230441194231,398.3230441194231,398.3230441194231
19,1012.3295775713195,0.09074807306731472,397.9402812779256,397.9402812779256,397.9402812779256
20,1005.4816285051776,0.10002644281760605,392.2770558982241,392.2770558982241,392.2770558982241
21,972.3813785973397,0.10306576404231202,390.51125045201354,390.51125045201354,390.51125045201354
22,936.2727926744394,0.10853550291805894,387.5178983634208,387.5178983634208,387.5178983634208
23,900.7154463400303,0.1176289024369245,382.82990543534913,382.82990543534913,382.82990543534913
24,889.9011506906368,0.1232502862588459,379.97143659274275,379.97143659274275,379.97143659274275
25,888.4423705579081,0.1237803681537741,379.70183390711225,379.70183390711225,379.70183390711225
26,827.5021991876594,0.13385446989170913,375.1678478960014,375.1678478960014,375.1678478960014
27,825.0074797836238,0.13810031097205497,373.25383989581184,373.25383989581184,373.25383989581184
28,815.8521401817466,0.13983522441575588,372.4853036753458,372.4853036753458,372.4853036753458
29,813.6633710551471,0.1463979503932405,369.5804514631584,369.5804514631584,369.5804514631584
30,808.0861106695711,0.14648755818651524,369.54115617814284,369.54115617814284,369.54115617814284
31,783.7759981233262,0.14716575158117945,369.2601295600692,369.2601295600692,369.2601295600692
32,766.6364710933942,0.15726062904908183,365.2283481526911,365.2283481526911,365.2283481526911
33,760.1547555319486,0.1648721404645266,362.2108921623439,362.2108921623439,362.2108921623439
34,736.3778070945657,0.1668204840069233,361.48117583164304,361.48117583164304,361.48117583164304
35,735.1541404679072,0.17005152002388152,360.2718724249613,360.2718724249613,360.2718724249613
36,727.127773709961,0.17649340573316116,357.90100039262023,357.90100039262023,357.90100039262023
37,700.5794044391216,0.17941654267421422,356.89783901612384,356.89783901612384,356.89783901612384
38,679.6860771608387,0.18387409634308,355.4557814842745,355.4557814842745,355.4557814842745
39,677.1254057585659,0.1935029681608979,352.34350610031004,352.34350610031004,352.34350610031004
40,656.5012608169529,0.19486924520235618,351.9276583261149,351.9276583261149,351.9276583261149
41,643.6354578413022,0.1989117276616377,350.7460479528583,350.7460479528583,350.7460479528583
42,642.5620279236348,0.20117236444311956,350.0856117932371,350.0856117932371,350.0856117932371
43,631.5236603900753,0.20523686939449692,348.9393775919171,348.9393775919171,348.9393775919171
44,623.9700666814301,0.20744393946372522,348.33169523781714,348.33169523781714,348.33169523781714
45,621.3104921085722,0.225134188700302,343.45966563160783,343.45966563160783,343.45966563160783
46,614.8893755663674,0.23784574552849796,339.98734892904884,339.98734892904884,339.98734892904884
47,605.082832340207,0.23921627601983794,339.62377840057934,339.62377840057934,339.62377840057934
48,605.0072267149189,0.2452073835240759,338.0290653531959,338.0290653531959,338.0290653531959
49,595.9260883895518,0.2498820508027469,336.82066033319455,336.82066033319455,336.82066033319455
50,595.0316970087251,0.25016395677397857,336.74785883901194,336.74785883901194,336.74785883901194
51,590.8993337874739,0.25559534298337266,335.36370849803905,335.36370849803905,335.36370849803905
52,590.4847934876295,0.2564434604358353,335.147244072715,335.147244072715,335.147244072715
53,586.1619225281747,0.2612059369195779,333.9489413902331,333.9489413902331,333.9489413902331
54,584.5441972920161,0.26227898832859214,333.67989547356126,333.67989547356126,333.67989547356126
55,582.2295742559895,0.26320169840020996,333.4504503422636,333.4504503422636,333.4504503422636
56,580.5489691333934,0.26435246250079436,333.1659345636569,333.1659345636569,333.1659345636569
57,579.7358390407338,0.27292568362752,331.0429488396418,331.0429488396418,331.0429488396418
58,579.2721871644535,0.284233631697156,328.22005501506123,328.22005501506123,328.22005501506123
59,573.2361767685072,0.2844781356737203,328.1601402745725,328.1601402745725,328.1601402745725
60,567.9615911587875,0.2971446061217809,325.10338399559635,325.10338399559635,325.10338399559635
61,556.3575867796304,0.30061519762415956,324.29940078287,324.29940078287,324.29940078287
62,556.0815850990606,0.3204890030802965,319.64692871166824,319.64692871166824,319.64692871166824
63,552.712727507515,0.33791629614196506,315.5496239671577,315.5496239671577,315.5496239671577
64,551.537775858246,0.34554735138021053,313.74189668356763,313.74189668356763,313.74189668356763
